metric,baseline_value,current_value,ci_low,ci_high,note
Qwen_vs_Mistral_IRR_kappa,0.83,0.89,0.85,0.92,Inter-model agreement in expanded corpus
Expert_vs_Qwen_validity_kappa,0.597,0.784,0.72,0.84,Expert validation against primary open-weight coder
