term,beta,se,z,p
(Intercept),0.9029487939123066,0.5763380713040258,1.5666998917307156,0.11718485612163396
region_EU,-0.3562831122643038,0.7249367788734576,-0.49146783919276815,0.6230955933199045
region_EA,-0.12458734407661314,0.8220090601531257,-0.15156444145932493,0.8795304809332071
region_LA,-1.1650445681662285,0.7695810958775688,-1.5138684856047622,0.13005919845411706
tier_upper,0.4646023095562145,0.6396650123337467,0.7263212784785033,0.46764183780494617
sigma2_country,0.0001,,,
logL,26.922042910112033,,,
n_obs,64,,,
n_countries,18,,,
