term,beta,se,z,p
(Intercept),-0.26783576706240264,0.5289647961779758,-0.5063394936631784,0.6126183426037242
region_EU,-1.1017756637018965,0.7141852760235348,-1.5427028541338752,0.12290288907789251
region_EA,-1.0388202910970683,0.8328348560425225,-1.2473304684116495,0.21227635002769468
region_LA,-0.46607285132836046,0.7544225205375776,-0.617787564183863,0.5367153819895191
tier_upper,1.0794497064182187,0.6059754272886431,1.7813423743072778,0.07485653600870007
sigma2_country,0.0001,,,
logL,27.88730792159304,,,
n_obs,64,,,
n_countries,18,,,
