term,beta,se,z,p
(Intercept),1.8369408308806974,0.7050798941312719,2.6052945860043137,0.009179529780699325
region_EU,-1.0693280526682558,0.8073572540463076,-1.3244794015400303,0.18534387965040658
region_EA,-1.008621317843818,0.9089731104296683,-1.1096272334910393,0.2671596908921842
region_LA,-2.2576854055871918,0.8658192966633715,-2.6075711344014714,0.009118712164625455
tier_upper,-0.21817961959265805,0.662193480246496,-0.32948016871359487,0.7417927810163366
sigma2_country,0.0001,,,
logL,29.80949307160639,,,
n_obs,64,,,
n_countries,18,,,
