term,beta,se,z,p
(Intercept),1.189068722431198,0.6185249565669693,1.9224264272713376,0.054552122921680435
region_EU,-0.6456574621173615,0.7557403769396656,-0.8543376559181878,0.39291792855907604
region_EA,-2.039339554232025,0.8471146827991297,-2.407394884826473,0.016066786684024077
region_LA,-3.017788248635494,0.9557190874193919,-3.15761010568916,0.0015906815276786304
tier_upper,0.47563937768863773,0.6838424135038771,0.6955394522131978,0.48671729582909007
sigma2_country,0.0001,,,
logL,31.526173089091202,,,
n_obs,64,,,
n_countries,18,,,
