theme,k,mean_auroc,sd_auroc,mean_brier,n_valid_folds
T1_integration,5,0.5833333333333333,0.20115027344472353,0.12085323267774609,5
T2_multimodal,5,0.5642857142857143,0.18837381420343705,0.2568550435720594,5
T3_privacy,5,0.5976190476190476,0.09393075922372114,0.24047040794579383,5
T4_integrity,5,0.6927272727272727,0.1314978304781767,0.19167638426470812,5
T5_disclosure,5,0.7693650793650794,0.13893264616830625,0.21384649242122428,5
T6_equity,5,0.6403703703703704,0.22584868898335606,0.26526546846873367,5
T7_vendor_governance,5,0.7566666666666666,0.11366897079077877,0.20067363969824537,5
T8_pedagogical_redesign,5,0.6,0.16735967034880075,0.2521174626758647,5
