term,beta,se,z,p
(Intercept),0.6978328165598204,0.551102897592898,1.2662477726170702,0.20542438887363262
region_EU,-1.510258251128003,0.7016567910139011,-2.1524173505762905,0.03136449837136943
region_EA,-0.25326810262442667,0.7807236400399078,-0.32440173402649947,0.7456339071071342
region_LA,-1.249611315339039,0.7598439473539133,-1.6445630970552514,0.10005994229439255
tier_upper,0.3452115576650832,0.6098542290247212,0.5660558560316052,0.5713558106694594
sigma2_country,0.0001,,,
logL,25.51549779377082,,,
n_obs,64,,,
n_countries,18,,,
