theme,term,beta,se,z,p_two_sided
T1_integration,region_EU,-1.0799606109109596,1.3005945478975967,-0.8303591712395761,0.40633574247144455
T1_integration,region_EA,-2.510086667003761,1.3643221888431158,-1.8398049137734849,0.0657968837754195
T1_integration,region_LA,-2.2142305635024058,1.2973480089283225,-1.7067360093545574,0.08787113099720839
T2_multimodal,region_EU,-0.3562831122643038,0.7249367788734576,-0.49146783919276815,0.6230955933199045
T2_multimodal,region_EA,-0.12458734407661314,0.8220090601531257,-0.15156444145932493,0.8795304809332071
T2_multimodal,region_LA,-1.1650445681662285,0.7695810958775688,-1.5138684856047622,0.13005919845411706
T3_privacy,region_EU,-1.0693280526682558,0.8073572540463076,-1.3244794015400303,0.18534387965040658
T3_privacy,region_EA,-1.008621317843818,0.9089731104296683,-1.1096272334910393,0.2671596908921842
T3_privacy,region_LA,-2.2576854055871918,0.8658192966633715,-2.6075711344014714,0.009118712164625455
T4_integrity,region_EU,-1.0344330717487857,0.8054091858507393,-1.2843571813203654,0.19901700776696302
T4_integrity,region_EA,-1.8658025077517462,0.8779083432794811,-2.1252816675393755,0.03356311703504281
T4_integrity,region_LA,0.7639467713464813,1.224962694259175,0.6236490098243327,0.5328581167663721
T5_disclosure,region_EU,-1.6975205761548153,0.894677875283889,-1.8973539226240255,0.05778124264136243
T5_disclosure,region_EA,-2.459145146446941,0.9572636905714924,-2.56893181123251,0.010201252856162215
T5_disclosure,region_LA,-2.247244578617199,0.9385392188155212,-2.394406683881919,0.016647278934456902
T6_equity,region_EU,-1.1017756637018965,0.7141852760235348,-1.5427028541338752,0.12290288907789251
T6_equity,region_EA,-1.0388202910970683,0.8328348560425225,-1.2473304684116495,0.21227635002769468
T6_equity,region_LA,-0.46607285132836046,0.7544225205375776,-0.617787564183863,0.5367153819895191
T7_vendor_governance,region_EU,-0.6456574621173615,0.7557403769396656,-0.8543376559181878,0.39291792855907604
T7_vendor_governance,region_EA,-2.039339554232025,0.8471146827991297,-2.407394884826473,0.016066786684024077
T7_vendor_governance,region_LA,-3.017788248635494,0.9557190874193919,-3.15761010568916,0.0015906815276786304
T8_pedagogical_redesign,region_EU,-1.510258251128003,0.7016567910139011,-2.1524173505762905,0.03136449837136943
T8_pedagogical_redesign,region_EA,-0.25326810262442667,0.7807236400399078,-0.32440173402649947,0.7456339071071342
T8_pedagogical_redesign,region_LA,-1.249611315339039,0.7598439473539133,-1.6445630970552514,0.10005994229439255
