term,beta,se,z,p
(Intercept),1.7068439431542057,0.7026655209300682,2.4290987565392115,0.01513640873920904
region_EU,-1.0344330717487857,0.8054091858507393,-1.2843571813203654,0.19901700776696302
region_EA,-1.8658025077517462,0.8779083432794811,-2.1252816675393755,0.03356311703504281
region_LA,0.7639467713464813,1.224962694259175,0.6236490098243327,0.5328581167663721
tier_upper,0.06250161925052676,0.7255336030499361,0.0861457263837096,0.9313505743047994
sigma2_country,0.0001,,,
logL,33.94698816339747,,,
n_obs,64,,,
n_countries,18,,,
